ID	Sample.Name	Sample_name	host_subject_id	Date	study_day	SAMPLE_TYPE	Location	run_prefix..exp.	env_material	surcat	Bases
ERR1459347	SAMEA4037092	qiita_sid_10172:10172.1279	R10016.Hand.10	3/6/13	10	Hand	R10016	MiSeq1	sebum	Patient_Skin	1648920
ERR1459348	SAMEA4037093	qiita_sid_10172:10172.1280	R10016.Nose.10	3/6/13	10	Nose	R10016	MiSeq1	sebum	Patient_Skin	2057224
ERR1459349	SAMEA4037094	qiita_sid_10172:10172.1281	R10016.Inguinal Fold.10	3/6/13	10	Inguinal Fold	R10016	MiSeq1	sebum	Patient_Skin	3069830
ERR1459350	SAMEA4037095	qiita_sid_10172:10172.1282	R10016.Bedrail.10	3/6/13	10	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	3675340
ERR1459351	SAMEA4037096	qiita_sid_10172:10172.1283	R10016.Glove from Glove Box.10	3/6/13	10	Glove from Glove Box	R10016	MiSeq1	surface layer	Glove	546620
ERR1459352	SAMEA4037097	qiita_sid_10172:10172.1284	R10016.Floor.10	3/6/13	10	Floor	R10016	MiSeq1	surface layer	Room_Surface	2442576
ERR1459353	SAMEA4037098	qiita_sid_10172:10172.1285	R10016.Cold Tap Faucet Handle.10	3/6/13	10	Cold Tap Faucet Handle	R10016	MiSeq1	surface layer	Room_Surface	1070137
ERR1459354	SAMEA4037099	qiita_sid_10172:10172.13	R9016.Floor.-81	12/5/12	-81	Floor	R9016	MiSeq1	surface layer	Room_Surface	3534457
ERR1459355	SAMEA4037100	qiita_sid_10172:10172.1340	R10016.Hand.11	3/7/13	11	Hand	R10016	MiSeq1	sebum	Patient_Skin	2225287
ERR1459356	SAMEA4037101	qiita_sid_10172:10172.1341	R10016.Nose.11	3/7/13	11	Nose	R10016	MiSeq1	sebum	Patient_Skin	5483565
ERR1459357	SAMEA4037102	qiita_sid_10172:10172.1342	R10016.Inguinal Fold.11	3/7/13	11	Inguinal Fold	R10016	MiSeq1	sebum	Patient_Skin	4488777
ERR1459358	SAMEA4037103	qiita_sid_10172:10172.1343	R10016.Bedrail.11	3/7/13	11	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	3991534
ERR1459359	SAMEA4037104	qiita_sid_10172:10172.1344	R10016.Glove from Glove Box.11	3/7/13	11	Glove from Glove Box	R10016	MiSeq1	surface layer	Glove	3322
ERR1459360	SAMEA4037105	qiita_sid_10172:10172.1345	R10016.Floor.11	3/7/13	11	Floor	R10016	MiSeq1	surface layer	Room_Surface	5855327
ERR1459361	SAMEA4037106	qiita_sid_10172:10172.1355	R10016.Hand.12	3/8/13	12	Hand	R10016	MiSeq1	sebum	Patient_Skin	2272701
ERR1459362	SAMEA4037107	qiita_sid_10172:10172.1356	R10016.Nose.12	3/8/13	12	Nose	R10016	MiSeq1	sebum	Patient_Skin	1661
ERR1459363	SAMEA4037108	qiita_sid_10172:10172.1357	R10016.Inguinal Fold.12	3/8/13	12	Inguinal Fold	R10016	MiSeq1	sebum	Patient_Skin	2608827
ERR1459364	SAMEA4037109	qiita_sid_10172:10172.1358	R10016.Bedrail.12	3/8/13	12	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	2926380
ERR1459365	SAMEA4037110	qiita_sid_10172:10172.1359	R10016.Glove from Glove Box.12	3/8/13	12	Glove from Glove Box	R10016	MiSeq1	surface layer	Glove	1286973
ERR1459366	SAMEA4037111	qiita_sid_10172:10172.1360	R10016.Floor.12	3/8/13	12	Floor	R10016	MiSeq1	surface layer	Room_Surface	151
ERR1459367	SAMEA4037112	qiita_sid_10172:10172.1361	R10016.Cold Tap Faucet Handle.12	3/8/13	12	Cold Tap Faucet Handle	R10016	MiSeq1	surface layer	Room_Surface	1812
ERR1459368	SAMEA4037113	qiita_sid_10172:10172.1362	NA.BLANK.12	3/8/13	12	blank control		MiSeq1	sterile water		1013361
ERR1459369	SAMEA4037114	qiita_sid_10172:10172.1415	R10016.Hand.16	3/12/13	16	Hand	R10016	MiSeq1	sebum	Patient_Skin	2970472
ERR1459370	SAMEA4037115	qiita_sid_10172:10172.1416	R10016.Nose.16	3/12/13	16	Nose	R10016	MiSeq1	sebum	Patient_Skin	3885381
ERR1459371	SAMEA4037116	qiita_sid_10172:10172.1417	R10016.Inguinal Fold.16	3/12/13	16	Inguinal Fold	R10016	MiSeq1	sebum	Patient_Skin	12684
ERR1459372	SAMEA4037117	qiita_sid_10172:10172.1418	R10016.Bedrail.16	3/12/13	16	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	6042265
ERR1459373	SAMEA4037118	qiita_sid_10172:10172.1419	R10016.Glove from Glove Box.16	3/12/13	16	Glove from Glove Box	R10016	MiSeq1	surface layer	Glove	1510
ERR1459374	SAMEA4037119	qiita_sid_10172:10172.1420	R10016.Floor.16	3/12/13	16	Floor	R10016	MiSeq1	surface layer	Room_Surface	2740348
ERR1459375	SAMEA4037120	qiita_sid_10172:10172.1421	R10016.Cold Tap Faucet Handle.16	3/12/13	16	Cold Tap Faucet Handle	R10016	MiSeq1	surface layer	Room_Surface	3008071
ERR1459376	SAMEA4037121	qiita_sid_10172:10172.15	R9016.Cold Tap Water.-81	12/5/12	-81	Cold Tap Water	R9016	MiSeq1	water	Water	604
ERR1459377	SAMEA4037122	qiita_sid_10172:10172.1565	R10016.Hand.18	3/14/13	18	Hand	R10016	MiSeq1	sebum	Patient_Skin	2019172
ERR1459378	SAMEA4037123	qiita_sid_10172:10172.1568	R10016.Bedrail.18	3/14/13	18	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	2042275
ERR1459379	SAMEA4037124	qiita_sid_10172:10172.1569	R10016.Glove from Glove Box.18	3/14/13	18	Glove from Glove Box	R10016	MiSeq1	surface layer	Glove	2718
ERR1459380	SAMEA4037125	qiita_sid_10172:10172.1570	R10016.Floor.18	3/14/13	18	Floor	R10016	MiSeq1	surface layer	Room_Surface	4697157
ERR1459381	SAMEA4037126	qiita_sid_10172:10172.1571	R10016.Cold Tap Faucet Handle.18	3/14/13	18	Cold Tap Faucet Handle	R10016	MiSeq1	surface layer	Room_Surface	1857602
ERR1459382	SAMEA4037127	qiita_sid_10172:10172.1573	R9016.Hand.19	3/15/13	19	Hand	R9016	MiSeq1	sebum	Patient_Skin	11842930
ERR1459383	SAMEA4037128	qiita_sid_10172:10172.1574	R9016.Nose.19	3/15/13	19	Nose	R9016	MiSeq1	sebum	Patient_Skin	9008056
ERR1459384	SAMEA4037129	qiita_sid_10172:10172.1575	R9016.Axilla.19	3/15/13	19	Axilla	R9016	MiSeq1	sebum	Patient_Skin	1208
ERR1459385	SAMEA4037130	qiita_sid_10172:10172.1576	R9016.Bedrail.19	3/15/13	19	Bedrail	R9016	MiSeq1	surface layer	Room_Surface	5717615
ERR1459386	SAMEA4037131	qiita_sid_10172:10172.1578	R9016.Floor.19	3/15/13	19	Floor	R9016	MiSeq1	surface layer	Room_Surface	4185720
ERR1459387	SAMEA4037132	qiita_sid_10172:10172.1579	R9016.Cold Tap Faucet Handle.19	3/15/13	19	Cold Tap Faucet Handle	R9016	MiSeq1	surface layer	Room_Surface	604
ERR1459388	SAMEA4037133	qiita_sid_10172:10172.1580	R10016.Hand.19	3/15/13	19	Hand	R10016	MiSeq1	sebum	Patient_Skin	3202408
ERR1459389	SAMEA4037134	qiita_sid_10172:10172.1581	R10016.Nose.19	3/15/13	19	Nose	R10016	MiSeq1	sebum	Patient_Skin	4413579
ERR1459390	SAMEA4037135	qiita_sid_10172:10172.1582	R10016.Axilla.19	3/15/13	19	Axilla	R10016	MiSeq1	sebum	Patient_Skin	755
ERR1459391	SAMEA4037136	qiita_sid_10172:10172.1583	R10016.Bedrail.19	3/15/13	19	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	7120858
ERR1459392	SAMEA4037137	qiita_sid_10172:10172.1585	R10016.Floor.19	3/15/13	19	Floor	R10016	MiSeq1	surface layer	Room_Surface	5433131
ERR1459393	SAMEA4037138	qiita_sid_10172:10172.1587	NA.BLANK.19	3/15/13	19	blank control		MiSeq1	sterile water		980292
ERR1459394	SAMEA4037139	qiita_sid_10172:10172.1598	R10016.Bedrail.20	3/16/13	20	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	979990
ERR1459395	SAMEA4037140	qiita_sid_10172:10172.1599	R10016.Glove from Glove Box.20	3/16/13	20	Glove from Glove Box	R10016	MiSeq1	surface layer	Glove	1098525
ERR1459396	SAMEA4037141	qiita_sid_10172:10172.1600	R10016.Floor.20	3/16/13	20	Floor	R10016	MiSeq1	surface layer	Room_Surface	4474734
ERR1459397	SAMEA4037142	qiita_sid_10172:10172.1601	R10016.Cold Tap Faucet Handle.20	3/16/13	20	Cold Tap Faucet Handle	R10016	MiSeq1	surface layer	Room_Surface	1895201
ERR1459398	SAMEA4037143	qiita_sid_10172:10172.1602	NA.BLANK.20	3/16/13	20	blank control		MiSeq1	sterile water		534087
ERR1459399	SAMEA4037144	qiita_sid_10172:10172.1603	R9016.Hand.21	3/17/13	21	Hand	R9016	MiSeq1	sebum	Patient_Skin	151
ERR1459400	SAMEA4037145	qiita_sid_10172:10172.1604	R9016.Nose.21	3/17/13	21	Nose	R9016	MiSeq1	sebum	Patient_Skin	4971675
ERR1459401	SAMEA4037146	qiita_sid_10172:10172.1605	R9016.Axilla.21	3/17/13	21	Axilla	R9016	MiSeq1	sebum	Patient_Skin	2546766
ERR1459402	SAMEA4037147	qiita_sid_10172:10172.1606	R9016.Bedrail.21	3/17/13	21	Bedrail	R9016	MiSeq1	surface layer	Room_Surface	7735730
ERR1459403	SAMEA4037148	qiita_sid_10172:10172.1607	R9016.Glove from Glove Box.21	3/17/13	21	Glove from Glove Box	R9016	MiSeq1	surface layer	Glove	1135822
ERR1459404	SAMEA4037149	qiita_sid_10172:10172.1608	R9016.Floor.21	3/17/13	21	Floor	R9016	MiSeq1	surface layer	Room_Surface	3674132
ERR1459405	SAMEA4037150	qiita_sid_10172:10172.1609	R9016.Cold Tap Faucet Handle.21	3/17/13	21	Cold Tap Faucet Handle	R9016	MiSeq1	surface layer	Room_Surface	4343817
ERR1459406	SAMEA4037151	qiita_sid_10172:10172.1613	R10016.Bedrail.21	3/17/13	21	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	2870661
ERR1459407	SAMEA4037152	qiita_sid_10172:10172.1614	R10016.Glove from Glove Box.21	3/17/13	21	Glove from Glove Box	R10016	MiSeq1	surface layer	Glove	1262360
ERR1459408	SAMEA4037153	qiita_sid_10172:10172.1615	R10016.Floor.21	3/17/13	21	Floor	R10016	MiSeq1	surface layer	Room_Surface	10558222
ERR1459409	SAMEA4037154	qiita_sid_10172:10172.1617	NA.BLANK.21	3/17/13	21	blank control		MiSeq1	sterile water		841372
ERR1459410	SAMEA4037155	qiita_sid_10172:10172.1633	R9016.Hand.23	3/19/13	23	Hand	R9016	MiSeq1	sebum	Patient_Skin	1452016
ERR1459411	SAMEA4037156	qiita_sid_10172:10172.1634	R9016.Nose.23	3/19/13	23	Nose	R9016	MiSeq1	sebum	Patient_Skin	1588067
ERR1459412	SAMEA4037157	qiita_sid_10172:10172.1635	R9016.Axilla.23	3/19/13	23	Axilla	R9016	MiSeq1	sebum	Patient_Skin	604
ERR1459413	SAMEA4037158	qiita_sid_10172:10172.1636	R9016.Bedrail.23	3/19/13	23	Bedrail	R9016	MiSeq1	surface layer	Room_Surface	5101535
ERR1459414	SAMEA4037159	qiita_sid_10172:10172.1637	R9016.Glove from Glove Box.23	3/19/13	23	Glove from Glove Box	R9016	MiSeq1	surface layer	Glove	940126
ERR1459415	SAMEA4037160	qiita_sid_10172:10172.1638	R9016.Floor.23	3/19/13	23	Floor	R9016	MiSeq1	surface layer	Room_Surface	3374095
ERR1459416	SAMEA4037161	qiita_sid_10172:10172.1639	R9016.Cold Tap Faucet Handle.23	3/19/13	23	Cold Tap Faucet Handle	R9016	MiSeq1	surface layer	Room_Surface	3832078
ERR1459417	SAMEA4037162	qiita_sid_10172:10172.1643	R10016.Bedrail.23	3/19/13	23	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	6955211
ERR1459418	SAMEA4037163	qiita_sid_10172:10172.1644	R10016.Glove from Glove Box.23	3/19/13	23	Glove from Glove Box	R10016	MiSeq1	surface layer	Glove	1042504
ERR1459419	SAMEA4037164	qiita_sid_10172:10172.1645	R10016.Floor.23	3/19/13	23	Floor	R10016	MiSeq1	surface layer	Room_Surface	4214259
ERR1459420	SAMEA4037165	qiita_sid_10172:10172.1646	R10016.Cold Tap Faucet Handle.23	3/19/13	23	Cold Tap Faucet Handle	R10016	MiSeq1	surface layer	Room_Surface	5628978
ERR1459421	SAMEA4037166	qiita_sid_10172:10172.1667	R9016.Floor.24	3/20/13	24	Floor	R9016	MiSeq1	surface layer	Room_Surface	4753631
ERR1459422	SAMEA4037167	qiita_sid_10172:10172.1668	R9016.Cold Tap Faucet Handle.24	3/20/13	24	Cold Tap Faucet Handle	R9016	MiSeq1	surface layer	Room_Surface	2603391
ERR1459423	SAMEA4037168	qiita_sid_10172:10172.1729	R10016.Hand.24	3/20/13	24	Hand	R10016	MiSeq1	sebum	Patient_Skin	3883985
ERR1459424	SAMEA4037169	qiita_sid_10172:10172.1730	R10016.Nose.24	3/20/13	24	Nose	R10016	MiSeq1	sebum	Patient_Skin	12971806
ERR1459425	SAMEA4037170	qiita_sid_10172:10172.1731	R10016.Axilla.24	3/20/13	24	Axilla	R10016	MiSeq1	sebum	Patient_Skin	4064014
ERR1459426	SAMEA4037171	qiita_sid_10172:10172.1732	R10016.Bedrail.24	3/20/13	24	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	5224298
ERR1459427	SAMEA4037172	qiita_sid_10172:10172.1733	R10016.Glove from Glove Box.24	3/20/13	24	Glove from Glove Box	R10016	MiSeq1	surface layer	Glove	1119363
ERR1459428	SAMEA4037173	qiita_sid_10172:10172.1734	R10016.Floor.24	3/20/13	24	Floor	R10016	MiSeq1	surface layer	Room_Surface	5074204
ERR1459429	SAMEA4037174	qiita_sid_10172:10172.1735	R10016.Cold Tap Faucet Handle.24	3/20/13	24	Cold Tap Faucet Handle	R10016	MiSeq1	surface layer	Room_Surface	453
ERR1459430	SAMEA4037175	qiita_sid_10172:10172.1786	R9016.Bedrail.25	3/21/13	25	Bedrail	R9016	MiSeq1	surface layer	Room_Surface	3215092
ERR1459431	SAMEA4037176	qiita_sid_10172:10172.1788	R9016.Floor.25	3/21/13	25	Floor	R9016	MiSeq1	surface layer	Room_Surface	3433740
ERR1459432	SAMEA4037177	qiita_sid_10172:10172.1789	R9016.Cold Tap Faucet Handle.25	3/21/13	25	Cold Tap Faucet Handle	R9016	MiSeq1	surface layer	Room_Surface	3975075
ERR1459433	SAMEA4037178	qiita_sid_10172:10172.1793	R10016.Bedrail.25	3/21/13	25	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	3342989
ERR1459434	SAMEA4037179	qiita_sid_10172:10172.1794	R10016.Glove from Glove Box.25	3/21/13	25	Glove from Glove Box	R10016	MiSeq1	surface layer	Glove	1234123
ERR1459435	SAMEA4037180	qiita_sid_10172:10172.1795	R10016.Floor.25	3/21/13	25	Floor	R10016	MiSeq1	surface layer	Room_Surface	4276622
ERR1459436	SAMEA4037181	qiita_sid_10172:10172.1796	R10016.Cold Tap Faucet Handle.25	3/21/13	25	Cold Tap Faucet Handle	R10016	MiSeq1	surface layer	Room_Surface	3755823
ERR1459437	SAMEA4037182	qiita_sid_10172:10172.1797	NA.BLANK.25	3/21/13	25	blank control		MiSeq1	sterile water		891202
ERR1459438	SAMEA4037183	qiita_sid_10172:10172.1801	R9016.Bedrail.26	3/22/13	26	Bedrail	R9016	MiSeq1	surface layer	Room_Surface	2846199
ERR1459439	SAMEA4037184	qiita_sid_10172:10172.1803	R9016.Floor.26	3/22/13	26	Floor	R9016	MiSeq1	surface layer	Room_Surface	4042119
ERR1459440	SAMEA4037185	qiita_sid_10172:10172.1804	R9016.Cold Tap Faucet Handle.26	3/22/13	26	Cold Tap Faucet Handle	R9016	MiSeq1	surface layer	Room_Surface	2234347
ERR1459441	SAMEA4037186	qiita_sid_10172:10172.1805	R10016.Hand.26	3/22/13	26	Hand	R10016	MiSeq1	sebum	Patient_Skin	3537628
ERR1459442	SAMEA4037187	qiita_sid_10172:10172.1806	R10016.Nose.26	3/22/13	26	Nose	R10016	MiSeq1	sebum	Patient_Skin	3423925
ERR1459443	SAMEA4037188	qiita_sid_10172:10172.1807	R10016.Axilla.26	3/22/13	26	Axilla	R10016	MiSeq1	sebum	Patient_Skin	2630269
ERR1459444	SAMEA4037189	qiita_sid_10172:10172.1808	R10016.Bedrail.26	3/22/13	26	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	3815619
ERR1459445	SAMEA4037190	qiita_sid_10172:10172.1810	R10016.Floor.26	3/22/13	26	Floor	R10016	MiSeq1	surface layer	Room_Surface	3540195
ERR1459446	SAMEA4037191	qiita_sid_10172:10172.1812	NA.BLANK.26	3/22/13	26	blank control		MiSeq1	sterile water		1050356
ERR1459447	SAMEA4037192	qiita_sid_10172:10172.1823	R10016.Bedrail.27	3/23/13	27	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	7421348
ERR1459448	SAMEA4037193	qiita_sid_10172:10172.1824	R10016.Glove from Glove Box.27	3/23/13	27	Glove from Glove Box	R10016	MiSeq1	surface layer	Glove	1728799
ERR1459449	SAMEA4037194	qiita_sid_10172:10172.1825	R10016.Floor.27	3/23/13	27	Floor	R10016	MiSeq1	surface layer	Room_Surface	4169865
ERR1459450	SAMEA4037195	qiita_sid_10172:10172.1826	R10016.Cold Tap Faucet Handle.27	3/23/13	27	Cold Tap Faucet Handle	R10016	MiSeq1	surface layer	Room_Surface	13649608
ERR1459451	SAMEA4037196	qiita_sid_10172:10172.1827	NA.BLANK.27	3/23/13	27	blank control		MiSeq1	sterile water		1337860
ERR1459452	SAMEA4037197	qiita_sid_10172:10172.1828	R9016.Hand.28	3/24/13	28	Hand	R9016	MiSeq1	sebum	Patient_Skin	3500180
ERR1459453	SAMEA4037198	qiita_sid_10172:10172.1829	R9016.Nose.28	3/24/13	28	Nose	R9016	MiSeq1	sebum	Patient_Skin	4451178
ERR1459454	SAMEA4037199	qiita_sid_10172:10172.1830	R9016.Axilla.28	3/24/13	28	Axilla	R9016	MiSeq1	sebum	Patient_Skin	2734157
ERR1459455	SAMEA4037200	qiita_sid_10172:10172.1831	R9016.Bedrail.28	3/24/13	28	Bedrail	R9016	MiSeq1	surface layer	Room_Surface	4014939
ERR1459456	SAMEA4037201	qiita_sid_10172:10172.1832	R9016.Glove from Glove Box.28	3/24/13	28	Glove from Glove Box	R9016	MiSeq1	surface layer	Glove	1209057
ERR1459457	SAMEA4037202	qiita_sid_10172:10172.1833	R9016.Floor.28	3/24/13	28	Floor	R9016	MiSeq1	surface layer	Room_Surface	1665832
ERR1459458	SAMEA4037203	qiita_sid_10172:10172.1834	R9016.Cold Tap Faucet Handle.28	3/24/13	28	Cold Tap Faucet Handle	R9016	MiSeq1	surface layer	Room_Surface	3183080
ERR1459459	SAMEA4037204	qiita_sid_10172:10172.1835	R10016.Hand.28	3/24/13	28	Hand	R10016	MiSeq1	sebum	Patient_Skin	5514369
ERR1459460	SAMEA4037205	qiita_sid_10172:10172.1837	R10016.Axilla.28	3/24/13	28	Axilla	R10016	MiSeq1	sebum	Patient_Skin	2804070
ERR1459461	SAMEA4037206	qiita_sid_10172:10172.1838	R10016.Bedrail.28	3/24/13	28	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	10246860
ERR1459462	SAMEA4037207	qiita_sid_10172:10172.1839	R10016.Glove from Glove Box.28	3/24/13	28	Glove from Glove Box	R10016	MiSeq1	surface layer	Glove	2410715
ERR1459463	SAMEA4037208	qiita_sid_10172:10172.1840	R10016.Floor.28	3/24/13	28	Floor	R10016	MiSeq1	surface layer	Room_Surface	3715204
ERR1459464	SAMEA4037209	qiita_sid_10172:10172.1842	NA.BLANK.28	3/24/13	28	blank control		MiSeq1	sterile water		886219
ERR1459465	SAMEA4037210	qiita_sid_10172:10172.1846	R9016.Bedrail.29	3/25/13	29	Bedrail	R9016	MiSeq1	surface layer	Room_Surface	3564657
ERR1459466	SAMEA4037211	qiita_sid_10172:10172.1847	R9016.Glove from Glove Box.29	3/25/13	29	Glove from Glove Box	R9016	MiSeq1	surface layer	Glove	5381338
ERR1459467	SAMEA4037212	qiita_sid_10172:10172.1848	R9016.Floor.29	3/25/13	29	Floor	R9016	MiSeq1	surface layer	Room_Surface	1520419
ERR1459468	SAMEA4037213	qiita_sid_10172:10172.1849	R9016.Cold Tap Faucet Handle.29	3/25/13	29	Cold Tap Faucet Handle	R9016	MiSeq1	surface layer	Room_Surface	9783139
ERR1459469	SAMEA4037214	qiita_sid_10172:10172.1853	R10016.Bedrail.29	3/25/13	29	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	6203080
ERR1459470	SAMEA4037215	qiita_sid_10172:10172.1854	R10016.Glove from Glove Box.29	3/25/13	29	Glove from Glove Box	R10016	MiSeq1	surface layer	Glove	3997272
ERR1459471	SAMEA4037216	qiita_sid_10172:10172.1855	R10016.Floor.29	3/25/13	29	Floor	R10016	MiSeq1	surface layer	Room_Surface	2858544
ERR1459472	SAMEA4037217	qiita_sid_10172:10172.1856	R10016.Cold Tap Faucet Handle.29	3/25/13	29	Cold Tap Faucet Handle	R10016	MiSeq1	surface layer	Room_Surface	2542840
ERR1459473	SAMEA4037218	qiita_sid_10172:10172.1861	R9016.Bedrail.30	3/26/13	30	Bedrail	R9016	MiSeq1	surface layer	Room_Surface	3391460
ERR1459474	SAMEA4037219	qiita_sid_10172:10172.1863	R9016.Floor.30	3/26/13	30	Floor	R9016	MiSeq1	surface layer	Room_Surface	3570093
ERR1459475	SAMEA4037220	qiita_sid_10172:10172.1864	R9016.Cold Tap Faucet Handle.30	3/26/13	30	Cold Tap Faucet Handle	R9016	MiSeq1	surface layer	Room_Surface	4096781
ERR1459476	SAMEA4037221	qiita_sid_10172:10172.1868	R10016.Bedrail.30	3/26/13	30	Bedrail	R10016	MiSeq1	surface layer	Room_Surface	3293914
ERR1459477	SAMEA4037222	qiita_sid_10172:10172.1869	R10016.Glove from Glove Box.30	3/26/13	30	Glove from Glove Box	R10016	MiSeq1	surface layer	Glove	1633669
ERR1459478	SAMEA4037223	qiita_sid_10172:10172.1870	R10016.Floor.30	3/26/13	30	Floor	R10016	MiSeq1	surface layer	Room_Surface	3469225
ERR1459479	SAMEA4037224	qiita_sid_10172:10172.1871	R10016.Cold Tap Faucet Handle.30	3/26/13	30	Cold Tap Faucet Handle	R10016	MiSeq1	surface layer	Room_Surface	3739515
ERR1459480	SAMEA4037225	qiita_sid_10172:10172.1890	R9016.Bedrail.31	3/27/13	31	Bedrail	R9016	MiSeq1	surface layer	Room_Surface	11014242
ERR1459481	SAMEA4037226	qiita_sid_10172:10172.1891	R9016.Glove from Glove Box.31	3/27/13	31	Glove from Glove Box	R9016	MiSeq1	surface layer	Glove	1676855
